"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","Uczelnia"
"73",73,400730309,"2024-01-28 12:48:48","2024-01-28 13:09:54","00:21:06","00:21:06","Prawo kanoniczne","","Niestacjonarne","Jednolite studia magisterskie","","","Piąty","To jest uczelnia pierwszego wyboru","","Nie","","Tak","Nie wiem / trudno powiedzieć","Z kierunku Prawo Kanoniczne jestem w pełni zadowolona.
Kierunek Prawo - zmiana podejścia do studenta, większa wyrozumiałość dla osób studiujących 2  kierunki, czy to przy zmianie gr czy nieobecnościach spowodowanych kolizją, inne podejście do osób które są zmuszone pracować, aby utrzymać się na studiach lub są przewlekle chore. Większa wyrozumiałość Pań z dziekanatu, otwartość na pomoc w razie potrzeby. Lepsza komunikacja między prowadzącymi a studentami.","7","4","3","7","Trudno powiedzieć","Trudno powiedzieć",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"","Katolicka Uczelnia","Prawo do pogłębiania wiary","Możliwość rozwoju","wiara","możliwość rozwoju","Otwartość na wszystkich","Trudno powiedzieć","4","2","5","7","Trudno powiedzieć","2","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","6","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","2","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","7","7","Trudno powiedzieć","3","4","7","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Kobieta","Rzeszów","Miasto 100 000-499 999 mieszkańców","podkarpackie","Wolę nie odpowiadać",1,1,0,0,0,0,0,"",0,"","PC",NA,NA,"","00:00:09","00:00:32","00:00:13","","","00:00:08","00:00:10","","00:00:05","","00:00:32","00:04:59","00:00:52","00:00:56","00:00:33","00:03:01","00:02:30","00:00:10","00:01:22","00:00:54","00:01:16","00:00:24","00:01:25","00:00:50","00:00:05","KUL"
"74",74,400734185,"2024-01-28 15:05:00","2024-01-28 15:19:19","00:14:19","00:14:19","Filologia angielska","","Stacjonarne","Pierwszy","Trzeci","","","Chciałam/chciałem studiować na innej uczelni","Uniwersytet Jagielloński w Krakowie","Nie","","Tak","6","","4","6","6","Nie jest to dla mnie istotne","Trudno powiedzieć","Trudno powiedzieć",1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,"","dobro studenta","otwartość na ludzi","","odległość od miejsca zamieszkania","tanie miasto w porównaniu do innych miast studenckich","bardzo dobry dojazd od miejsca zamieszkania","5","6","7","6","4","4","6","2","5","3","5","6","6","7","Trudno powiedzieć","2","5","4","7","Trudno powiedzieć","Trudno powiedzieć","5","7","5","7","7","3","5","Trudno powiedzieć","5","Kobieta","Jeżowe","Wieś","podkarpackie","Nie pracuję",0,1,0,0,1,1,0,"",0,"Pomimo że jest to uczelnia katolicka, jest to oczywiste że na kierunku niezwiązanym z wiarą nie widać tego katolickiego charakteru uczelni. Przed rozpoczęciem studiów myślałam że to religijne podejście będzie tutaj bardzo rygorystyczne jak np obowiązkowe rekolekcje lub przekazanie opinii od proboszcza. Jednak wciąż jest pewien wstyd gdy ktoś zadaje pytanie gdzie studiujesz, a ty odpowiadasz że na Katolickim Uniwersytecie","PC",NA,NA,"","00:00:32","00:00:22","00:00:06","00:00:06","","","00:00:06","00:00:25","00:00:04","","00:00:11","","00:00:42","00:00:54","00:00:35","00:01:46","00:01:26","00:00:12","00:00:52","00:00:37","00:00:35","00:00:20","00:00:26","00:00:26","00:03:36","KUL"
"75",75,400747631,"2024-01-28 23:31:44","2024-01-28 23:45:44","00:14:00","00:14:00","Biotechnologia","","Stacjonarne","Pierwszy","Trzeci","","","To jest uczelnia pierwszego wyboru","","Nie","","Tak","6","","6","7","7","Nie jest to dla mnie istotne","5","6",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"","Dobry sprzęt i wyposażenie","Duże inwestycje w badania","Otwartość na pomoc i chęć rozwoju studentów","Dobre wyposażenie","Wysoki poziom","Mały rok (bardziej indywidualne zajęcia niz na uczelniach z np 100 osób na roku)","6","Trudno powiedzieć","4","7","5","7","5","2","6","Trudno powiedzieć","7","Trudno powiedzieć","Trudno powiedzieć","4","6","Trudno powiedzieć","7","4","5","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","7","Trudno powiedzieć","6","7","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Mężczyzna","Siemiatycze","Miasto do 19 999 mieszkańców","podlaskie","Nie pracuję",1,0,1,0,0,0,0,"",0,"","Mobile",NA,NA,"android-app://com.google.android.gm/","00:00:29","00:00:09","00:00:05","00:00:03","","","00:00:05","","00:00:04","","00:00:30","","00:00:36","00:01:19","00:00:23","00:01:07","00:00:56","00:00:07","00:00:46","00:03:52","00:01:37","00:00:21","00:00:31","00:00:55","00:00:05","KUL"
"76",76,400832993,"2024-01-29 03:25:26","2024-01-29 03:38:51","00:13:25","00:13:25","Historia sztuki","","Stacjonarne","Drugi","","Pierwszy","","Chciałam/chciałem studiować na innej uczelni","Uniwersytet Łódzki","Tak","Uniwersytet Warszawski","Tak","4","Zaangażowanie moje i niektórych wykładowców :)","5","4","7","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"","Katolicyzm.","Kameralność.","Studia stacjonarne w wersji hybrydowej.","Studia stacjonarne w wersji hybrydowej.","Lokalizacja.","Kameralność.","5","5","5","5","5","5","5","Trudno powiedzieć","Trudno powiedzieć","4","5","Trudno powiedzieć","5","5","4","4","6","5","5","Trudno powiedzieć","Trudno powiedzieć","6","6","6","6","6","6","5","6","6","Kobieta","Górnośląsko-Zagłębiowska Metropolia","Miasto 500 000 i więcej mieszkańców","śląskie","Wykonuję umowy zlecenia, umowy o dzieło",0,0,0,1,1,0,0,"",0,"","PC",NA,NA,"","00:00:08","00:00:09","00:00:09","","00:00:04","","00:00:25","00:00:12","00:00:05","00:00:10","00:00:15","00:00:37","00:01:05","00:00:48","00:00:46","00:02:01","00:00:52","00:00:07","00:01:01","00:00:53","00:00:52","00:00:25","00:01:57","00:00:20","00:00:04","KUL"
"77",77,400861712,"2024-01-29 12:18:42","2024-01-29 12:27:53","00:09:11","00:09:11","Prawo kanoniczne","","Stacjonarne","Jednolite studia magisterskie","","","Drugi","To jest uczelnia pierwszego wyboru","","Nie","","Tak","7. Wysoka satysfakcja","","6","7","7","7","Trudno powiedzieć","Trudno powiedzieć",1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,"","Katolicki","Wysoki poziom","Życzliwi pracownicy","Oferowane kierunki","Wartości","Poziom nauczania","6","6","7","6","Trudno powiedzieć","7","6","7","7","6","Trudno powiedzieć","7","Trudno powiedzieć","6","Trudno powiedzieć","6","Trudno powiedzieć","5","6","3","2","5","3","6","6","7","2","Trudno powiedzieć","2","7","Mężczyzna","Książenice","Wieś","śląskie","Nie pracuję",1,1,1,0,0,0,0,"",0,"","Mobile",NA,NA,"","00:00:15","00:00:24","00:00:05","","","00:00:03","00:00:04","","00:00:06","","00:00:09","","00:00:33","00:00:39","00:00:21","00:01:37","00:00:30","00:00:05","00:00:57","00:00:44","00:01:09","00:00:29","00:00:42","00:00:16","00:00:03","KUL"
"78",78,400868051,"2024-01-29 13:21:04","2024-01-29 13:29:46","00:08:42","00:08:42","Prawo kanoniczne","","Stacjonarne","Jednolite studia magisterskie","","","Piąty","To jest uczelnia pierwszego wyboru","","Nie","","Tak","6","","5","7","6","7","7","4",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"","Status prawny","","","Katolicki charakter","Oferta dydaktyczna","","6","5","4","6","4","6","5","7","Trudno powiedzieć","6","6","7","5","6","4","2","4","4","5","3","2","6","2","5","7","5","1","5","7","7","Mężczyzna","","Miasto do 19 999 mieszkańców","podkarpackie","Pracuję na etat (pełny lub część)",1,0,1,0,0,0,0,"",0,"","PC",NA,NA,"","00:00:22","00:00:12","00:00:06","","","00:00:04","00:00:06","","00:00:07","","00:00:11","","00:00:43","00:00:42","00:00:24","00:00:57","00:01:06","00:00:03","00:00:50","00:00:40","00:00:51","00:00:24","00:00:34","00:00:17","00:00:03","KUL"
"79",79,400882187,"2024-01-29 15:27:43","2024-01-29 15:44:01","00:16:18","00:16:18","Prawo","","Stacjonarne","Jednolite studia magisterskie","","","Czwarty","To jest uczelnia pierwszego wyboru","","Tak","Uniwersytet Opolski","Nie","7. Wysoka satysfakcja","","4","6","4","5","Nie jest to dla mnie istotne","Nie jest to dla mnie istotne",0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"","Godność człowieka","Tradycja","Wiara","Uczelnia też dla innych księży","Wysoki poziom dydaktyczny","Szacunek dla człowieka","4","5","5","5","6","7","5","2","6","5","6","6","6","4","5","4","Trudno powiedzieć","5","6","4","5","6","5","5","6","6","6","4","6","2","Mężczyzna","Opole","Miasto 100 000-499 999 mieszkańców","opolskie","Pracuję, ale nie mam umowy",0,0,0,0,0,0,1,"Ksiądz",0,"Wielu ludziom wokół się się wydaje że na KULu katolickość jest wszechobecna, a moim zdaniem jest mądrze wywarzona, przez dobre otwarcie na świat. Mówię bardziej o codziennym funkcjonowaniu studentów niż o przekazie medialnym.","PC",NA,NA,"","00:01:33","00:00:21","00:00:09","","","00:00:05","00:00:08","","00:00:08","00:00:11","00:00:14","","00:00:52","00:03:59","00:00:31","00:00:33","00:00:42","00:00:25","00:01:34","00:00:48","00:00:46","00:00:35","00:00:53","00:00:17","00:01:34","KUL"
"80",80,400893614,"2024-01-29 17:23:12","2024-01-29 17:45:05","00:21:53","00:21:53","Biotechnologia","","Stacjonarne","Drugi","","Drugi","","Chciałam/chciałem studiować na innej uczelni","Uniwersytet Warszawski","Nie","","Tak","7. Wysoka satysfakcja","","7","6","7","Nie jest to dla mnie istotne","4","5",1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,"","Profesjonalna kadra","Nowoczesne wyposażenie","Tradycje","Nowoczesny wydział","Dobre wyposażenie sprzętu laboratoryjnego","Profesjonalna kadra","6","3","1","7","6","4","1","1","1","4","7","4","5","6","6","1","3","5","7","4","2","1","1","Trudno powiedzieć","5","6","6","4","1","Trudno powiedzieć","Kobieta","Zamość","Miasto 20 000-99 999 mieszkańców","lubelskie","Wykonuję umowy zlecenia, umowy o dzieło",0,0,0,0,1,0,0,"",0,"","PC",NA,NA,"","00:00:39","00:00:14","00:00:09","","00:00:05","","00:00:09","00:00:25","00:00:05","","00:00:55","","00:02:05","00:02:18","00:01:07","00:04:05","00:00:59","00:00:20","00:02:41","00:02:07","00:01:07","00:00:46","00:01:06","00:00:27","00:00:04","KUL"
"81",81,401090600,"2024-01-30 09:03:48","2024-01-30 09:18:33","00:14:45","00:14:45","Położnictwo","","Stacjonarne","Pierwszy","Drugi","","","To jest uczelnia pierwszego wyboru","","Nie","","Tak","7. Wysoka satysfakcja","","7","7","7","Nie jest to dla mnie istotne","7","5",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"","Najlepsza kadra pedagogiczna","Miła atmosfera","","Dostępność kierunku","Wcześnie podawane wyniki","","7","5","4","7","4","7","3","5","4","6","7","7","6","7","6","3","6","7","7","5","4","3","3","4","4","5","4","6","6","6","Kobieta","","Wieś","świętokrzyskie","Nie pracuję",0,0,1,0,0,0,0,"",0,"","Mobile",NA,NA,"android-app://com.google.android.gm/","00:00:23","00:00:29","00:00:09","00:00:05","","","00:00:11","","00:00:18","","00:00:24","","00:01:33","00:01:07","00:00:59","00:01:14","00:01:02","00:00:19","00:02:08","00:00:55","00:01:25","00:00:35","00:00:49","00:00:34","00:00:10","KUL"
"82",82,401166965,"2024-01-30 15:26:13","2024-01-30 15:33:25","00:07:12","00:07:12","Dziennikarstwo i komunikacja społeczna","","Stacjonarne","Pierwszy","Drugi","","","To jest uczelnia pierwszego wyboru","","Nie","","Tak","7. Wysoka satysfakcja","","7","7","7","Nie jest to dla mnie istotne","7","7",0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,"","Otwartość","Duże możliwości","Nowoczesność","Wysoki poziom","Wysoko postawiona kadra","Nowoczesność","6","6","Trudno powiedzieć","7","7","5","4","7","4","6","7","6","7","7","7","Trudno powiedzieć","1","7","7","3","3","5","4","6","7","7","4","6","4","7","Kobieta","Siedliszcze","Miasto do 19 999 mieszkańców","lubelskie","Nie pracuję",1,1,1,0,0,0,0,"",0,"","Mobile",NA,NA,"https://e.kul.pl/","00:00:07","00:00:11","00:00:05","00:00:03","","","00:00:05","","00:00:03","","00:00:12","","00:00:40","00:00:41","00:00:16","00:00:22","00:01:03","00:00:05","00:00:56","00:00:46","00:00:35","00:00:24","00:00:27","00:00:08","00:00:03","KUL"
"83",83,401191532,"2024-01-30 21:49:39","2024-01-30 22:03:13","00:13:34","00:13:34","Zarządzanie","","Stacjonarne","Pierwszy","Pierwszy","","","To jest uczelnia pierwszego wyboru","","Nie","","Tak","5","brak sesji","6","5","5","Nie jest to dla mnie istotne","5","5",1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"","katolicki","dobra kadra","fajna atmosfera","wielkość stypendium","miasto","dobre opinie","6","5","5","7","7","4","7","4","3","6","7","6","6","7","6","5","6","6","7","6","3","6","6","6","6","6","4","5","Trudno powiedzieć","6","Kobieta","zamość","Wieś","lubelskie","Nie pracuję",0,0,0,0,1,0,0,"",0,"","PC",NA,NA,"https://e.kul.pl/","00:00:08","00:00:18","00:00:10","00:00:05","","","00:00:06","","00:00:05","","00:00:18","00:02:10","00:00:36","00:02:28","00:00:15","00:01:36","00:00:55","00:00:08","00:00:50","00:00:44","00:01:13","00:00:26","00:00:47","00:00:13","00:00:03","KUL"
"84",84,401303861,"2024-01-31 13:08:00","2024-01-31 13:18:40","00:10:40","00:10:40","Dziennikarstwo i komunikacja społeczna","","Stacjonarne","Drugi","","Pierwszy","","To jest uczelnia pierwszego wyboru","","Nie","","Tak","6","","5","6","5","7","5","3",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,"","Ponad 100-letnia tradycja","Charakter katolicki","","Obecność duszpasterstwa akademickiego","","","6","5","6","6","6","5","6","4","5","6","6","6","6","6","5","4","5","5","5","5","5","7","5","7","6","7","Trudno powiedzieć","5","Trudno powiedzieć","5","Kobieta","Rakszawa","Wieś","podkarpackie","Pracuję na etat (pełny lub część)",1,0,0,0,0,0,0,"",0,"","PC",NA,NA,"https://e.kul.pl/","00:01:46","00:00:15","00:00:08","","00:00:24","","00:00:08","","00:00:04","","00:00:13","","00:00:42","00:01:00","00:00:39","00:01:07","00:00:48","00:00:10","00:00:51","00:00:33","00:00:35","00:00:28","00:00:27","00:00:15","00:00:07","KUL"
"85",85,401341688,"2024-01-31 18:23:16","2024-01-31 18:34:36","00:11:20","00:11:20","Filologia angielska","","Stacjonarne","Pierwszy","Drugi","","","Chciałam/chciałem studiować na innej uczelni","Uniwersytet Warszawski","Nie","","Tak","6","","7","6","7","7","Nie jest to dla mnie istotne","Nie jest to dla mnie istotne",0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,"","Otwartość","Szacunek","Zrozumienie","Poziom uczelni","Odległość","Opinie","7","Trudno powiedzieć","7","7","6","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","7","7","7","6","7","Trudno powiedzieć","Trudno powiedzieć","3","7","7","Trudno powiedzieć","6","3","3","6","6","6","2","6","6","6","Mężczyzna","Letnisko Nowy Jadów","Wieś","mazowieckie","Nie pracuję",1,1,1,0,1,0,0,"",0,"","Mobile",NA,NA,"","00:00:06","00:00:13","00:00:08","00:00:04","","","00:00:06","00:00:12","00:00:06","","00:00:15","","00:00:46","00:00:42","00:00:18","00:00:22","00:00:31","00:00:16","00:01:18","00:01:02","00:02:43","00:01:05","00:00:41","00:00:19","00:00:07","KUL"
"86",86,401341931,"2024-01-31 18:31:21","2024-01-31 18:37:37","00:06:16","00:06:16","Sztuczna inteligencja","","Stacjonarne","Pierwszy","Pierwszy","","","To jest uczelnia pierwszego wyboru","","Tak","Politechnika Lubelska","Tak","7. Wysoka satysfakcja","","6","7","7","Nie jest to dla mnie istotne","4","4",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,"","Otwartość","Szacunek dla studenta","","Szacunek dla studenta","Nowoczesność","Dobra kadra","6","4","5","6","6","7","2","Trudno powiedzieć","6","7","7","6","7","6","6","3","7","5","7","Trudno powiedzieć","Trudno powiedzieć","3","1","5","5","2","7","7","7","Trudno powiedzieć","Mężczyzna","Stryjno-Kolonia","Wieś","lubelskie","Pracuję na etat (pełny lub część)",0,0,0,0,1,0,0,"",0,"","Mobile",NA,NA,"http://m.facebook.com/","00:00:04","00:00:07","00:00:05","00:00:03","","","00:00:03","","00:00:03","00:00:07","00:00:06","","00:00:38","00:01:01","00:00:13","00:00:32","00:00:23","00:00:05","00:00:42","00:00:35","00:00:41","00:00:18","00:00:20","00:00:06","00:00:04","KUL"
"87",87,401343620,"2024-01-31 18:27:18","2024-01-31 18:58:40","00:31:22","00:31:22","Zarządzanie","","Stacjonarne","Pierwszy","Pierwszy","","","Chciałam/chciałem studiować na innej uczelni","Uniwersytet Jagielloński","Nie","","Tak","7. Wysoka satysfakcja","","6","6","6","Nie jest to dla mnie istotne","Trudno powiedzieć","Nie jest to dla mnie istotne",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Wspaniali ludzie, lepiej niż na UMCS, niezapomniane przeżycia","Znana uczelnia katolicka","Pełno nieprawdziwych stereotypów związanych z tym, że to uczelnia katolicka","","Chciałem uciec z rodzinnych stron","Nie dostałem się na UJ","","Trudno powiedzieć","Trudno powiedzieć","6","4","5","7","7","Trudno powiedzieć","5","Trudno powiedzieć","7","Trudno powiedzieć","Trudno powiedzieć","7","Trudno powiedzieć","Trudno powiedzieć","7","6","7","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","4","Trudno powiedzieć","Trudno powiedzieć","5","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","1","Mężczyzna","Wólka Podleśna","Wieś","podkarpackie","Wolę nie odpowiadać",0,0,0,0,0,0,1,"Osoba obojętna",0,"","PC",NA,NA,"https://e.kul.pl/","00:00:59","00:00:22","00:00:06","00:00:05","","","00:00:07","00:00:08","00:00:04","","00:01:15","","00:03:44","00:04:37","00:02:05","00:03:06","00:03:47","00:00:23","00:02:20","00:01:40","00:00:52","00:00:21","00:05:02","00:00:16","00:00:03","KUL"
"88",88,401363825,"2024-01-31 23:40:43","2024-01-31 23:50:47","00:10:04","00:10:04","Zarządzanie","","Stacjonarne","Pierwszy","Pierwszy","","","Chciałam/chciałem studiować na innej uczelni","Uniwersytet Marii Curie Skłodowskiej w Lublinie","Nie","","Tak","6","","7","5","5","7","6","4",1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,"","Uczelnia katolicka","Duża możliwość rozwoju","Wiele atrakcyjnych kierunków","Opinie","Możliwość rozowju","Moje własne zainteresowania","6","6","3","3","3","6","7","6","6","6","7","Trudno powiedzieć","6","7","2","1","7","5","7","4","2","Trudno powiedzieć","2","4","4","6","3","2","7","6","Kobieta","Solec nad Wisłą","Miasto do 19 999 mieszkańców","mazowieckie","Wykonuję umowy zlecenia, umowy o dzieło",1,0,0,0,0,0,0,"",0,"","Mobile",NA,NA,"https://e.kul.pl/","00:00:20","00:00:16","00:00:06","00:00:05","","","00:00:09","00:00:23","00:00:06","","00:00:28","","00:00:45","00:00:56","00:00:35","00:00:47","00:00:39","00:00:12","00:01:08","00:00:53","00:00:54","00:00:30","00:00:40","00:00:06","00:00:06","KUL"
"89",89,401715392,"2024-02-01 20:15:38","2024-02-01 20:28:47","00:13:09","00:13:09","Journalism and social communication","","Stacjonarne","Pierwszy","Trzeci","","","Chciałam/chciałem studiować na innej uczelni","Nie miałam żadnej konkretnej","Nie","","Tak","6","","6","5","7","Nie jest to dla mnie istotne","3","2",0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,"","Wsparcie","Wspólnota","Tolerancja","Język angielski jako wykładowy","Bliskość do miasta rodzinnego","Dobra komunikacja z miastem rodzinnym","3","5","5","4","3","7","4","Trudno powiedzieć","Trudno powiedzieć","6","7","6","6","5","4","4","5","4","5","6","Trudno powiedzieć","5","2","4","Trudno powiedzieć","4","5","Trudno powiedzieć","4","5","Kobieta","Radom","Miasto 20 000-99 999 mieszkańców","mazowieckie","Wykonuję umowy zlecenia, umowy o dzieło",0,0,0,1,0,1,0,"",0,"Wszyscy żyjemy w państwie chrześcijańskim, wychowujemy się w tradycjach chrześcijańskich, uczymy się wartości tej religi czy wierzymy czy nie. Od zawsze widziałam dużo hipokryzji wśród osób, które wyznawały wiarę. Nazywali siebie katolikami, ale swoim postępowaniem nie przestrzegali zasad religii. Odstraszało mnie to od wiary. Do tej pory nie wierzę, nie jestem w stanie w sobie wykształcić poczucia, że jest jakaś ""wyższa"" siła. Za to na KULu nauczyłam się, że można żyć w zgodnie z nakazami wiary - szacunkiem, miłością, tolerancją. Dopiero na studiach poczułam szacunek do osób, które wierzą i żyją według zasad tradycji chrześcijańskich, które de facto utożsamiam po częsci z ""polskością"". Cieszę się, że mogłam się o tym przekonać. Większość osób, które poznałam na KULu właśnie, w taki sposób wyznaje wiarę - nie tylko słowem, a czynem. Jestem z tego dumna. 
Owszem, mamy na uczelni osoby o skrajnych poglądach - o tych konserwatynych częściej się słyszy ze względu na charakter i reputację uczelni. Jednak studenci, wykładowcy o liberalnych poglądach też tu są. I boom! Są w stanie żyć razem ze sobą w zgodzie. Tak, tak są wyjątki, ale w każdej wsi jest jakiś miejscowy wariat, którego wszyscy się wstydzą.","PC",NA,NA,"https://e.kul.pl/","00:00:03","00:00:09","00:00:04","00:00:03","","","00:00:05","00:00:20","00:00:04","","00:00:09","","00:00:31","00:00:23","00:00:25","00:00:18","00:00:31","00:00:04","00:00:39","00:00:31","00:00:38","00:00:22","00:00:22","00:00:09","00:07:19","KUL"
"90",90,401903051,"2024-02-03 00:14:29","2024-02-03 00:27:24","00:12:55","00:12:55","Zarządzanie","","Stacjonarne","Pierwszy","Pierwszy","","","To jest uczelnia pierwszego wyboru","","Nie","","Tak","5",".","7","6","6","7","6","6",1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,"","Katolicki","Międzynarodowy","Nowoczesny","Jakość nauczania","Międzynarodowy","Nowoczesny","6","6","7","6","6","6","7","7","6","5","6","7","7","7","5","5","7","6","7","5","6","7","5","6","6","7","4","6","6","6","Kobieta","Ukraina","Miasto do 19 999 mieszkańców","lubelskie","Nie pracuję",1,0,0,0,0,0,0,"",0,"","Mobile",NA,NA,"https://e.kul.pl/","00:00:09","00:00:11","00:00:04","00:00:02","","","00:00:11","","00:00:36","","00:01:01","00:01:03","00:00:56","00:01:42","00:00:23","00:01:25","00:00:48","00:00:03","00:00:58","00:00:46","00:00:52","00:00:54","00:00:36","00:00:12","00:00:03","KUL"
"91",91,402898748,"2024-02-06 13:11:23","2024-02-06 13:20:02","00:08:39","00:08:39","Zarządzanie","","Stacjonarne","Pierwszy","Pierwszy","","","To jest uczelnia pierwszego wyboru","","Nie","","Tak","7. Wysoka satysfakcja","","6","6","7","Nie jest to dla mnie istotne","7","Nie jest to dla mnie istotne",1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,"","Przyjazność","Możliwości rozwoju","Religijność","Możliwości rozwoju","Dobry start na rynku pracy","Odpowiedni poziom","5","4","3","6","6","7","7","Trudno powiedzieć","5","6","7","6","7","7","2","1","7","5","7","3","2","7","2","4","7","7","4","6","Trudno powiedzieć","6","Mężczyzna","Opatów","Miasto do 19 999 mieszkańców","świętokrzyskie","Nie pracuję",0,0,0,0,1,0,0,"",0,"","Mobile",NA,NA,"https://e.kul.pl/","00:00:06","00:00:10","00:00:05","00:00:07","","","00:00:06","","00:00:03","","00:00:11","","00:00:37","00:00:39","00:00:30","00:00:52","00:00:51","00:00:12","00:00:59","00:00:45","00:01:03","00:00:29","00:00:40","00:00:09","00:00:05","KUL"
"92",92,403345664,"2024-02-08 22:25:20","2024-02-08 22:35:38","00:10:18","00:10:18","Dziennikarstwo i komunikacja społeczna","","Stacjonarne","Pierwszy","Pierwszy","","","Chciałam/chciałem studiować na innej uczelni","Uniwersytet Marii Curie-Skłodowskiej w Lublinie","Nie","","Tak","7. Wysoka satysfakcja","","6","7","6","5","6","6",0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,"","Otwartość na innych","Wykładowcy, którzy w ciekawy i dokładny sposób przekazują wiedzę","Świetne towarzystwo studenckie","Otwartość","Wykwalifikowana kadra","Nowoczesność uczelni","6","2","4","5","5","5","5","4","5","5","6","6","6","6","5","4","6","6","6","4","4","5","3","6","6","5","3","5","3","3","Kobieta","Otwock","Wieś","mazowieckie","Nie pracuję",1,1,1,0,0,0,0,"",0,"","Mobile",NA,NA,"https://e.kul.pl/","00:00:04","00:00:08","00:00:06","00:00:03","","","00:00:04","00:00:28","00:00:05","","00:00:11","","00:00:26","00:00:15","00:00:10","00:01:41","00:02:24","00:00:02","00:01:35","00:00:39","00:00:54","00:00:26","00:00:21","00:00:14","00:00:02","KUL"
"93",93,403364075,"2024-02-09 08:48:04","2024-02-09 08:54:59","00:06:55","00:06:55","Zarządzanie","","Stacjonarne","Drugi","","Drugi","","Chciałam/chciałem studiować na innej uczelni","UMCS","Nie","","Tak","5","Nie wiem, zawsze znajdą się rzeczy na które można narzekać i zazwyczaj nie wynika to z samej Uczelni, osób tam pracujących","6","5","6","7","6","Nie jest to dla mnie istotne",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,"","Katolicka","Tradycja",".",".",".","","5","7","7","5","6","7","7","5","7","3","3","5","6","6","5","3","6","5","4","4","3","3","4","1","6","7","3","5","6","7","Kobieta","Biłgoraj","Miasto do 19 999 mieszkańców","lubelskie","Nie pracuję",1,0,0,0,0,0,0,"",0,"Nie","Mobile",NA,NA,"https://e.kul.pl/","00:00:06","00:00:11","00:00:11","","00:00:04","","00:00:04","00:00:06","00:00:04","","00:00:13","00:00:46","00:00:44","00:00:29","00:00:14","00:00:32","00:00:37","00:00:05","00:00:31","00:00:38","00:00:34","00:00:18","00:00:20","00:00:03","00:00:05","KUL"
